,Date,Open,High,Low,Close,Adj Close,Volume,Vix Open,Vix High,Vix Low,Vix Close
0,2018-01-30,41.38249969482422,41.842498779296875,41.17499923706055,41.74250030517578,39.813995361328125,184192800,13.930000305175781,15.420000076293945,13.880000114440918,14.789999961853027
1,2018-01-31,41.717498779296875,42.11000061035156,41.625,41.85749816894531,39.92368698120117,129915600,14.229999542236328,14.4399995803833,13.40999984741211,13.539999961853027
2,2018-02-01,41.79249954223633,42.154998779296875,41.689998626708984,41.94499969482422,40.007144927978516,188923200,13.050000190734863,14.300000190734863,12.5,13.470000267028809
3,2018-02-02,41.5,41.70000076293945,40.025001525878906,40.125,38.271236419677734,346375200,13.640000343322754,17.860000610351562,13.640000343322754,17.309999465942383
4,2018-02-05,39.775001525878906,40.970001220703125,39.0,39.122501373291016,37.31504821777344,290954000,18.440000534057617,38.79999923706055,16.799999237060547,37.31999969482422
5,2018-02-06,38.70750045776367,40.93000030517578,38.5,40.75749969482422,38.874507904052734,272975200,37.31999969482422,50.29999923706055,22.420000076293945,29.979999542236328
6,2018-02-07,40.772499084472656,40.849998474121094,39.76750183105469,39.8849983215332,38.04231643676758,206434400,31.3799991607666,31.639999389648438,21.170000076293945,27.729999542236328
7,2018-02-08,40.0724983215332,40.25,38.75749969482422,38.787498474121094,36.995521545410156,217562000,27.290000915527344,36.16999816894531,24.40999984741211,33.459999084472656
8,2018-02-09,39.26750183105469,39.47249984741211,37.560001373291016,39.102500915527344,37.44803237915039,282690400,32.18000030517578,41.060001373291016,27.729999542236328,29.059999465942383
9,2018-02-12,39.625,40.97249984741211,39.377498626708984,40.6775016784668,38.956390380859375,243278000,27.25,29.700000762939453,24.420000076293945,25.610000610351562
10,2018-02-13,40.48749923706055,41.1875,40.412498474121094,41.084999084472656,39.346641540527344,130196800,26.940000534057617,27.81999969482422,24.469999313354492,24.969999313354492
11,2018-02-14,40.7599983215332,41.8849983215332,40.720001220703125,41.842498779296875,40.07209396362305,162579600,23.479999542236328,25.719999313354492,18.989999771118164,19.260000228881836
12,2018-02-15,42.4474983215332,43.272499084472656,42.25,43.247501373291016,41.41765594482422,204588800,18.389999389648438,20.65999984741211,17.600000381469727,19.1299991607666
